comm_id,sent_at,sender,recipient,subject,key_extracted_claims,urgency
COMM-EMAIL-101,2026-08-04T16:30:00Z,procurement@apexdistributors.com,regional_sales_east@insightpilot.corp,Holding Q3 re-orders pending Atlanta stock resolution & competitor pricing match,"Holding 24,000 unit order for SKU-8821; Competitor Horizon Foods offering 15% discount on equivalent line; Atlanta DC backorders past 10 days",HIGH
COMM-EMAIL-102,2026-08-07T15:40:00Z,orders@midatlanticsupply.com,regional_sales_east@insightpilot.corp,Critical delivery delay notice on SKU-8821 and SKU-4410,Fulfillment rate from Atlanta dropped below 70%; Customer plants operating on safety buffer stock; Require expedited transfer from Charlotte DC,HIGH
COMM-EMAIL-103,2026-08-11T13:35:00Z,supplychain@empireind.com,account_exec_nae@insightpilot.corp,PO Deferral Confirmation - NA East Wholesale Program,Deferring PO-DIST-1420 pending availability confirmation; Horizon Foods field rep pitched 15% discount on PurePro line,HIGH
COMM-EMAIL-114,2025-09-09T15:00:00Z,inventory@sunbeltparts.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-SUNBELT-PARTS,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-115,2025-09-25T11:00:00Z,purchasing@tristateops.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-TRI-STATE-OPS,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-116,2025-10-29T15:00:00Z,orders@midwestdirect.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-MIDWEST-DIRECT,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-117,2025-11-04T15:00:00Z,buyer@coastalwholesale.net,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-COASTAL-WHOLESALE,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-118,2025-11-16T14:00:00Z,buyer@coastalwholesale.net,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-COASTAL-WHOLESALE,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-119,2025-12-28T10:00:00Z,purchasing@texascommercial.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-TEXAS-COMMERCIAL,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-120,2026-01-31T11:00:00Z,orders@midwestdirect.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-MIDWEST-DIRECT,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-121,2026-02-04T15:00:00Z,procurement@apexdistributors.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-APEX-EAST,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-122,2026-02-06T15:00:00Z,purchasing@tristateops.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-TRI-STATE-OPS,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-123,2026-02-08T13:00:00Z,orders@midatlanticsupply.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-MIDATL-SUPPLY,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-124,2026-02-18T13:00:00Z,supplychain@empireind.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-EMPIRE-IND,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-125,2026-03-22T10:00:00Z,orders@midatlanticsupply.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-MIDATL-SUPPLY,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-126,2026-03-26T12:00:00Z,buyer@coastalwholesale.net,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-COASTAL-WHOLESALE,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-127,2026-04-01T09:00:00Z,purchasing@tristateops.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-TRI-STATE-OPS,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-128,2026-04-11T11:00:00Z,purchasing@texascommercial.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-TEXAS-COMMERCIAL,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-129,2026-04-15T16:00:00Z,buyer@coastalwholesale.net,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-COASTAL-WHOLESALE,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-130,2026-05-09T09:00:00Z,purchasing@tristateops.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-TRI-STATE-OPS,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-131,2026-06-20T14:00:00Z,orders@midatlanticsupply.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-MIDATL-SUPPLY,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-132,2026-07-22T16:00:00Z,supplychain@empireind.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-EMPIRE-IND,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-133,2026-07-26T09:00:00Z,orders@midatlanticsupply.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-MIDATL-SUPPLY,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-134,2026-08-15T12:00:00Z,purchasing@texascommercial.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-TEXAS-COMMERCIAL,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-135,2026-08-19T13:00:00Z,ops@greatlakessupply.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-GREATLAKES-SUPPLY,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-136,2026-08-23T12:00:00Z,buyer@coastalwholesale.net,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-COASTAL-WHOLESALE,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-137,2026-08-25T12:00:00Z,inventory@sunbeltparts.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-SUNBELT-PARTS,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-138,2026-09-10T15:00:00Z,ops@greatlakessupply.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-GREATLAKES-SUPPLY,Standard quarterly order planning; confirmed payment receipt,LOW
COMM-EMAIL-139,2026-09-12T09:00:00Z,inventory@sunbeltparts.com,sales_desk@insightpilot.corp,Routine PO acknowledgment & logistics schedule - DIST-SUNBELT-PARTS,Standard quarterly order planning; confirmed payment receipt,LOW
